date,sc_B,dep_B,sc_B_idx,dep_B_idx
2020-12-30,25.860579018,16068.9666,19.75924670432719,90.71202505411613
2021-01-06,28.794931636,16119.0755,22.00129230029755,90.99489824101006
2021-01-13,31.115292217,16152.5752,23.77420609047458,91.18400969424472
2021-01-20,32.102853011,16159.0014,24.52876991329483,91.22028667644985
2021-01-27,33.03273276,16254.4129,25.239261482453436,91.75890067658416
2021-02-03,33.947760327,16284.1703,25.938404971275887,91.92688621551393
2021-02-10,41.201143966,16335.4281,31.480484932609077,92.21624513656731
2021-02-17,44.611414479,16427.0826,34.086164269794736,92.7336502384189
2021-02-24,47.576308494,16401.9652,36.35154557675585,92.59185828161101
2021-03-03,51.168881045,16464.9516,39.09651610850588,92.94742712664605
2021-03-10,52.992880629,16522.973,40.49017623281169,93.27496770977697
2021-03-17,55.78043519,16706.7767,42.620058097956075,94.3125705783671
2021-03-24,58.211908743,16725.8004,44.47786977940889,94.41996257151631
2021-03-31,60.098057206,16731.573,45.91901588736974,94.4525498715501
2021-04-07,63.184274153,16787.163,48.277096191619805,94.76636479184239
2021-04-14,68.922218095,16887.6095,52.661276833772575,95.3334022156801
2021-04-21,75.543956899,16898.9709,57.720737047280636,95.39753923376625
2021-04-28,77.132533681,16973.1798,58.934518089168996,95.81646098297435
2021-05-05,82.723716846,17064.0983,63.20656348495921,96.3297112407652
2021-05-12,87.712147631,17118.3094,67.01806493972819,96.63574203812905
2021-05-19,90.077490222,17098.437,68.8253480544369,96.52355899042234
2021-05-26,96.277441095,17068.0027,73.56253351223529,96.3517522368938
2021-06-02,100.093605817,17079.8533,76.47834371717555,96.41865087143987
2021-06-09,101.623147746,17177.5963,77.64701810372688,96.97042658207359
2021-06-16,102.592100543,17125.0452,78.387364147311,96.67376676452058
2021-06-23,104.003823179,17103.8,79.46601655580469,96.55383402941365
2021-06-30,104.477825869,17057.3338,79.82818694973538,96.29152449803598
2021-07-07,105.791779644,17131.8933,80.83213727815749,96.71242544334146
2021-07-14,106.103926637,17200.5062,81.0706388769967,97.09975682928358
2021-07-21,107.409010795,17264.5896,82.06781221290237,97.46151842422977
2021-07-28,108.875428243,17255.0818,83.18825518931037,97.40784529058783
2021-08-04,109.061582926,17275.219,83.33049006750093,97.52152317892944
2021-08-11,109.303587324,17329.8632,83.5153979382909,97.82999889879696
2021-08-18,110.161545948,17394.487,84.17093686114028,98.19481114283339
2021-08-25,111.992876285,17453.1096,85.57019818087774,98.525745601303
2021-09-01,112.565327394,17496.9321,86.00758988355477,98.77313100055662
2021-09-08,117.690784617,17477.509,89.92378888556634,98.66348432708423
2021-09-15,118.025579847,17555.7374,90.17959528264652,99.1050968313223
2021-09-22,118.647144009,17521.1362,90.65451270854707,98.90976722491794
2021-09-29,120.541573335,17540.2566,92.10198596080069,99.01770510586697
2021-10-06,121.343569853,17589.1001,92.71476601665881,99.29343489646413
2021-10-13,122.333638108,17610.3412,93.47124571075426,99.41334448637994
2021-10-20,122.092238316,17672.9002,93.28679980019746,99.76650058637212
2021-10-27,122.394229927,17705.0968,93.51754199433907,99.94825582045527
2021-11-03,126.190996213,17728.2668,96.41853047071962,100.07905437600793
2021-11-10,131.121027301,17766.2911,100.18541057266901,100.29370795891256
2021-11-17,133.71072293,17804.2855,102.16411471486599,100.50819275127726
2021-11-24,137.115812144,17849.0637,104.76583518612219,100.76097323812438
2021-12-01,139.397442899,17884.8315,106.50915674689799,100.96288849817172
2021-12-08,144.84353498,17873.3072,110.67034265569222,100.89783188212702
2021-12-15,147.493325086,17908.9081,112.69496307825493,101.09880496354155
2021-12-22,149.459455472,17928.3421,114.19722083214387,101.20851316935125
2021-12-29,150.249652648,17890.8841,114.80098538570545,100.99705644540254
2022-01-05,155.110209445,17952.2281,118.51478238945657,101.34335366559337
2022-01-12,156.361913895,17956.0667,119.47116998662672,101.36502320963068
2022-01-19,158.438928494,18007.6235,121.0581508443084,101.65607003608375
2022-01-26,161.800903895,18001.3354,123.62692942099844,101.62057265165687
2022-02-02,164.250693237,17999.868,125.49873561483953,101.6122889313108
2022-02-09,167.67981115,18036.5239,128.11881565148656,101.81921766555692
2022-02-16,170.658165762,18021.89,130.3944817729031,101.73660683335572
2022-02-23,172.618873922,18075.2006,131.8925965761974,102.03755415643063
2022-03-02,173.697489864,18081.8575,132.71673274431507,102.07513347902271
2022-03-09,173.676407728,18065.5944,132.70062455408512,101.98332553820234
2022-03-16,174.585829384,18079.855,133.39548474444103,102.0638290289798
2022-03-23,176.315056162,18074.8949,134.71673197910073,102.0358284284016
2022-03-30,176.660128531,18111.1133,134.98039081153334,102.24028740140241
2022-04-06,177.382076167,18145.7434,135.5320080602191,102.43578015317813
2022-04-13,176.807013759,18197.2253,135.09262114695056,102.72640415650598
2022-04-20,176.660562563,18096.7547,134.98072244159314,102.15923068410598
2022-04-27,177.168134673,18113.8398,135.36854216267304,102.25567895348328
2022-05-04,177.119736123,18126.1796,135.3315623684884,102.32533920448927
2022-05-11,168.925009097,18075.8882,129.0702318364594,102.041435774333
2022-05-18,150.800670083,18080.7777,115.2220002991369,102.0690378260108
2022-05-25,151.188520008,18131.5674,115.51834410284663,102.3557542436609
2022-06-01,151.09606303,18104.7405,115.44770066378956,102.20431187119843
2022-06-08,150.77531468,18040.9825,115.20262704137589,101.8443872141019
2022-06-15,147.996954636,18020.5312,113.07977041451423,101.72893617831538
