date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2024-04-08,7637334149,52722689451,305995.8793115793
2024-04-09,6636189233,56135335138,316739.9989725649
2024-04-10,6494471615,53770697406,508559.9917215502
2024-04-11,6227295169,54387309616,204427.3362851183
2024-04-12,8879857501,55345028901,3075173.900393135
2024-04-13,9840589218,50464730139,108565.51884367148
2024-04-14,8031753855,46681064554,981385.4960563459
2024-04-15,6691695832,49552931535,582854.1482712862
2024-04-16,6412358605,48970629526,550811.2476149768
2024-04-17,6028459300,49410337112,465202.02808406134
2024-04-18,5744725661,48031845903,2027340.3710228037
2024-04-19,6860667346,49249637524,329166.75962488435
2024-04-20,4232744203,49455503840,20790.795915504605
2024-04-21,4510868820,50792230521,2502219.8536111154
2024-04-22,5611091574,50953363726,1998638.0962918648
2024-04-23,5006556215,51523255290,324210.2293208251
2024-04-24,6624181725,52015253553,741261.4246973372
2024-04-25,5518656503,50776847190,115509.84323948588
2024-04-26,4969928511,51174453012,98083.79836771758
2024-04-27,4676616339,50933012399,1816868.7354738174
2024-04-28,4196814177,52769800176,528083.2122902544
2024-04-29,5037352201,52572634696,1083871.096505149
2024-04-30,6210640467,51541837183,2868228.7856476083
2024-05-01,6693958767,48299070880,281210.5136495465
2024-05-02,5166585377,48373289643,13247.189126685651
2024-05-03,5082534834,48884003238,24444.759236918457
2024-05-04,3925680902,50855926136,1235758.2943820022
2024-05-05,3442834438,51130681229,2584310.0747758374
2024-05-06,4765263876,51741203835,629853.6960580609
2024-05-07,4624348570,50405635647,470178.2814525743
2024-05-08,5068380882,49597675732,782766.5182572232
2024-05-09,4384614945,48686005178,1958405.75808327
2024-05-10,4361796459,49515215164,1055995.0630635768
2024-05-11,2754408913,48069843630,265242.2676351663
2024-05-12,2620806484,48246984651,1489790.8574553416
2024-05-13,4281933662,48567893950,144579.04795785097
2024-05-14,4424504400,48516219485,180994.4027270924
2024-05-15,5527246984,47778492841,948509.9481139408
2024-05-16,4836120116,49756196929,272837.34419532167
2024-05-17,5284261426,49077303501,1220029.5180138713
2024-05-18,3817800145,50969569847,430042.4632060692
2024-05-19,3463049154,51351535615,324932.6188689677
2024-05-20,7597758306,50778738831,6829319.374877928
2024-05-21,8732865623,58129964055,41463.996974797985
2024-05-22,7016466589,59549407508,1037957.1403052255
2024-05-23,10529168731,59880580591,39468.31221613369
2024-05-24,6730908102,59614919134,1427992.8142803484
2024-05-25,3927793775,59515998381,261481.59887917875
2024-05-26,4784180868,59941697363,94125.93507859694
2024-05-27,5815729320,61393239027,1045402.5108494567
2024-05-28,5589004790,61480104765,1319014.1666542313
2024-05-29,16456749437,60756430624,1133499.7863217918
2024-05-30,8088427217,59760821890,53296.2960400613
2024-05-31,5102647236,59749092246,348574.90310137736
2024-06-01,15956600072,60700547901,599817.7724982281
2024-06-02,31477551258,61308000156,338418.7354371583
2024-06-03,26067296925,61145349270,1663437.2663232652
2024-06-04,22781725237,60753503065,140544.6195126173
2024-06-05,19726936426,61458188016,947212.3186381214
2024-06-06,21379566857,62364731288,4440922.959190425
2024-06-07,7752301175,61733085688,2328482.952240868
2024-06-08,5192889007,60210928860,251230.6549851134
2024-06-09,3962615369,59892232003,81.89096664135695
2024-06-10,5056369116,60154066505,3942345.215183498
2024-06-11,7249312133,59069501462,2143131.2259323476
2024-06-12,7040915101,57709955805,2519156.11984028
2024-06-13,6215216557,58305767082,537004.573088695
2024-06-14,5884528709,57546044869,1364984.8781589398
2024-06-15,3768068729,57539472347,239312.94747090832
2024-06-16,3742219969,58504471387,498080.6390305
2024-06-17,6209087036,58854798921,1907493.9514669743
2024-06-18,7685038203,57481732254,136521.2569238807
2024-06-19,5345650081,57155011915,2243046.8763834033
2024-06-20,5409427275,57968351064,686187.4008617142
2024-06-21,5553389736,56826270673,555292.543540271
2024-06-22,3572196057,57005342141,364773.92099691584
2024-06-23,3261229146,57047553874,2487094.464583717
2024-06-24,7420758754,55613622915,729030.2681707287
2024-06-25,5017190731,54850626385,1629775.161115565
2024-06-26,4950774356,55873734136,1949479.0208763038
2024-06-27,5714083672,55551145952,2555960.4883576697
2024-06-28,5100598064,55930686420,361516.26428809454
2024-06-29,2953094931,54785169162,415228.9002379441
2024-06-30,3156065838,54851765478,904050.639249311
2024-07-01,4753462583,55958307062,582185.8227690546
2024-07-02,4232907039,55896921401,2700715.157724198
2024-07-03,5526218553,55091842781,506773.9290337333
2024-07-04,7262621339,53678184167,649662.5867856371
2024-07-05,9596618004,50609687512,960206.2787712632
2024-07-06,5037729398,50016620099,518756.13056031766
2024-07-07,4703985277,50165553446,4889981.173964394
2024-07-08,7650834617,48522725681,104084.97901067232
2024-07-09,5984137806,50161507125,249235.1429600841
2024-07-10,6057997218,50666181500,389574.72827551444
2024-07-11,6602386435,51148888945,159843.50415922035
2024-07-12,6247133381,51342112707,334381.35238811217
2024-07-13,4194721098,51527975653,1510703.1163255454
2024-07-14,5691735473,52270778593,740012.4004828678
2024-07-15,6949649453,53802841357,34543.450194896745
2024-07-16,7088363856,55370284180,4052583.9151560906
2024-07-17,6297787697,55863828506,957129.5951998306
2024-07-18,6253655240,55224099726,60747.825421397065
2024-07-19,7471136765,54933311032,1082253.1474795926
2024-07-20,4982892806,56286200459,475409.2061993521
2024-07-21,6402191593,56639045845,145804.45332311818
2024-07-22,5988555228,56636278700,829344.049037797
2024-07-23,7559608104,56193557022,1298576.3856753025
2024-07-24,4675134378,56484570403,1112082.4182960568
2024-07-25,7477728775,53872611860,284371.76224657154
2024-07-26,5139819175,52842038031,744158.8755538171
2024-07-27,5556905663,54195604305,771462.1770731956
2024-07-28,4331450144,54219905416,1261613.7962304335
2024-07-29,5995222667,54710905121,446079.85682573164
2024-07-30,5537801355,55391120926,1598164.6708298877
2024-07-31,5856007366,54742438475,988651.3631594842
2024-08-01,6320167012,53656536709,39085.59358162199
2024-08-02,6992746422,53063001368,790713.7517737712
2024-08-03,6148913262,50396510855,1979864.806991855
2024-08-04,7182989352,49075867057,838344.4414298275
2024-08-05,18455168322,44265555986,3867527.101581883
2024-08-06,7491760216,42772547698,14282365.715393923
2024-08-07,6964581200,43895288528,28289419.310756553
2024-08-08,6386144688,42256643602,116652.02149517456
2024-08-09,5128947436,45904376623,1698810.6866392177
2024-08-10,3512405997,45779801547,183300.00471371075
2024-08-11,4665904919,45920840859,763733.8047163881
2024-08-12,6047039281,44668893032,487342.65703350614
2024-08-13,5303740034,45897299056,285848.77731320064
2024-08-14,4093398699,46813499202,1042513.2225969995
2024-08-15,5451414332,45543174373,38109.12432046719
2024-08-16,4036402338,45152464391,1427307.2352883613
2024-08-17,2826896373,45637394172,748534.3988601068
2024-08-18,2974358219,45723652761,2085630.3371802082
2024-08-19,4421026393,46155222441,735466.7957906241
2024-08-20,4845400645,45916104993,35661.549771739694
2024-08-21,4793107694,45454623328,155018.8536102456
2024-08-22,4925233892,46412195227,1587698.8702236933
2024-08-23,4427346173,46114337009,677226.6845976583
2024-08-24,4221000136,48497030907,583179.9806229597
2024-08-25,3992858210,48102645271,383363.3337853313
2024-08-26,4928228837,48302077648,334842.44303058065
2024-08-27,5141849277,47014891417,3378056.5819670414
2024-08-28,5937547259,43575994255,567341.8863881622
2024-08-29,4428257228,44447796182,2154191.231967672
2024-08-30,4309444119,44505182826,1044587.6289936611
2024-08-31,2487626580,44543147615,1954944.3588303474
2024-09-01,3654544006,44414313581,1913585.0923657392
2024-09-02,3651289436,43268474604,3130682.4502271004
2024-09-03,4044387448,44937893769,1197137.0090465222
2024-09-04,4995708191,43540211177,1636793.3611238447
2024-09-05,4143826605,44016413298,1320985.7443417797
2024-09-06,5762173457,43173283529,929443.947253329
2024-09-07,3070327230,40900163893,1263560.5214471174
2024-09-08,3097855022,41607970210,1257902.593757404
2024-09-09,4249922957,42100394728,41768.05964491438
2024-09-10,3775898377,43194910699,725899.3975218174
2024-09-11,4513382662,43621578071,1573353.6547731778
2024-09-12,3569730456,43096503003,278342.0750220964
2024-09-13,3392990928,43401578824,625765.1805815978
2024-09-14,2693528483,45054093929,570904.2578199073
2024-09-15,2613198502,44605751702,515481.72875928954
2024-09-16,3662092023,43535436914,129925.93185088782
2024-09-17,4196387635,42662069461,745939.5796650539
2024-09-18,4653839568,43550741237,591039.0055193957
2024-09-19,5289019778,43527205568,1088838.4801593632
2024-09-20,4992249075,45337600461,797204.2322793386
