entity,month,n_transfers,tier,token,volume_usd
Bybit,2024-10-01 00:00:00.000 UTC,25409,2,USDC,2870186382.443239
Bybit,2024-10-01 00:00:00.000 UTC,128993,2,USDT,5241840607.736038
Bybit,2024-11-01 00:00:00.000 UTC,102498,2,USDT,8624766686.797592
Bybit,2024-11-01 00:00:00.000 UTC,32351,2,USDC,4001298770.986206
Bybit,2024-12-01 00:00:00.000 UTC,178763,2,USDT,10914941103.408636
Bybit,2024-12-01 00:00:00.000 UTC,40199,2,USDC,3543801067.678386
Bybit,2025-01-01 00:00:00.000 UTC,41014,2,USDC,3754086186.813643
Bybit,2025-01-01 00:00:00.000 UTC,142474,2,USDT,7658250302.659546
Bybit,2025-02-01 00:00:00.000 UTC,39475,2,USDC,3863137482.113899
Bybit,2025-02-01 00:00:00.000 UTC,134173,2,USDT,12621753426.29479
Bybit,2025-03-01 00:00:00.000 UTC,42944,2,USDC,2541337566.032423
Bybit,2025-03-01 00:00:00.000 UTC,129037,2,USDT,4680593564.664096
Bybit,2025-04-01 00:00:00.000 UTC,125639,2,USDT,4820728648.921096
Bybit,2025-04-01 00:00:00.000 UTC,50626,2,USDC,2731773934.874154
Bybit,2025-05-01 00:00:00.000 UTC,56340,2,USDC,4071824833.29241
Bybit,2025-05-01 00:00:00.000 UTC,131659,2,USDT,4055647887.183881
Bybit,2025-06-01 00:00:00.000 UTC,55748,2,USDC,2823333541.085235
Bybit,2025-06-01 00:00:00.000 UTC,126759,2,USDT,3944028458.565863
Bybit,2025-07-01 00:00:00.000 UTC,17272,2,USDC,2362554019.372259
Bybit,2025-07-01 00:00:00.000 UTC,45225,2,USDT,3898428710.798625
Bybit,2025-08-01 00:00:00.000 UTC,679,2,USDT,1920611488.190826
Bybit,2025-08-01 00:00:00.000 UTC,527,2,USDC,3585077187.91978
Bybit,2025-09-01 00:00:00.000 UTC,313,2,USDC,2185613758.378274
Bybit,2025-09-01 00:00:00.000 UTC,664,2,USDT,1332741006.215108
Bybit,2025-10-01 00:00:00.000 UTC,663,2,USDT,1902952434.633118
Bybit,2025-10-01 00:00:00.000 UTC,353,2,USDC,1824795954.026734
Bybit,2025-11-01 00:00:00.000 UTC,310,2,USDC,585555967.375574
Bybit,2025-11-01 00:00:00.000 UTC,502,2,USDT,1398599474.851498
Bybit,2025-12-01 00:00:00.000 UTC,1651,2,USDC,878427880.630371
Bybit,2025-12-01 00:00:00.000 UTC,470,2,USDT,4849849520.552448
Bybit,2026-01-01 00:00:00.000 UTC,2384,2,USDC,785424936.146416
Bybit,2026-01-01 00:00:00.000 UTC,278,2,USDT,459408381.688807
Circle,2023-02-01 00:00:00.000 UTC,21,1,USDT,473214.458724
BitGo,2023-02-01 00:00:00.000 UTC,3561,1,USDC,343831804.98284
Coinbase,2023-02-01 00:00:00.000 UTC,178358,1,USDT,5380252698.676892
Gemini,2023-02-01 00:00:00.000 UTC,2,1,USDT,0.0
Circle,2023-02-01 00:00:00.000 UTC,24028,1,USDC,66413040632.14584
Coinbase,2023-02-01 00:00:00.000 UTC,86606,1,USDC,37537996970.563965
BitGo,2023-03-01 00:00:00.000 UTC,4570,1,USDC,823508538.634542
Coinbase,2023-03-01 00:00:00.000 UTC,231782,1,USDT,11647029429.225224
Coinbase,2023-03-01 00:00:00.000 UTC,117343,1,USDC,56412362519.31514
Circle,2023-03-01 00:00:00.000 UTC,26482,1,USDC,53977364369.04234
Circle,2023-03-01 00:00:00.000 UTC,30,1,USDT,7383998.121222
Coinbase,2023-04-01 00:00:00.000 UTC,165412,1,USDT,6213312226.296123
Circle,2023-04-01 00:00:00.000 UTC,19477,1,USDC,16241082495.60168
Circle,2023-04-01 00:00:00.000 UTC,29,1,USDT,846500.059982
BitGo,2023-04-01 00:00:00.000 UTC,3504,1,USDC,196546025.328078
Coinbase,2023-04-01 00:00:00.000 UTC,107147,1,USDC,13976577252.602776
Circle,2023-05-01 00:00:00.000 UTC,30,1,USDT,495752.59401
Coinbase,2023-05-01 00:00:00.000 UTC,169153,1,USDT,3855862392.125507
Coinbase,2023-05-01 00:00:00.000 UTC,97284,1,USDC,14367197446.570868
BitGo,2023-05-01 00:00:00.000 UTC,3358,1,USDC,191837495.031398
Circle,2023-05-01 00:00:00.000 UTC,20342,1,USDC,19645759874.26028
Coinbase,2023-06-01 00:00:00.000 UTC,179655,1,USDT,4695363533.737308
Circle,2023-06-01 00:00:00.000 UTC,21597,1,USDC,19161377917.72825
Coinbase,2023-06-01 00:00:00.000 UTC,93278,1,USDC,16342301817.82578
Circle,2023-06-01 00:00:00.000 UTC,28,1,USDT,548025.394843
BitGo,2023-06-01 00:00:00.000 UTC,2979,1,USDC,193521957.255024
BitGo,2023-07-01 00:00:00.000 UTC,3073,1,USDC,303750968.340458
Coinbase,2023-07-01 00:00:00.000 UTC,117229,1,USDC,18490634533.58472
Circle,2023-07-01 00:00:00.000 UTC,18,1,USDT,1835502.64593
Circle,2023-07-01 00:00:00.000 UTC,20487,1,USDC,22302814280.310555
Coinbase,2023-07-01 00:00:00.000 UTC,185703,1,USDT,3599044076.054916
Circle,2023-08-01 00:00:00.000 UTC,32,1,USDT,510780.505741
Circle,2023-08-01 00:00:00.000 UTC,24249,1,USDC,24731817812.16795
Coinbase,2023-08-01 00:00:00.000 UTC,97826,1,USDC,18190672759.715847
Coinbase,2023-08-01 00:00:00.000 UTC,196856,1,USDT,5322524966.655012
BitGo,2023-08-01 00:00:00.000 UTC,2354,1,USDC,323056828.211819
Coinbase,2023-09-01 00:00:00.000 UTC,203673,1,USDT,3339808390.419411
Circle,2023-09-01 00:00:00.000 UTC,21863,1,USDC,17002711073.193268
Circle,2023-09-01 00:00:00.000 UTC,23,1,USDT,1360167.449925
BitGo,2023-09-01 00:00:00.000 UTC,1665,1,USDC,236270997.35991
Coinbase,2023-09-01 00:00:00.000 UTC,96539,1,USDC,12218439471.00851
Circle,2023-10-01 00:00:00.000 UTC,67,1,USDT,691020.684298
Coinbase,2023-10-01 00:00:00.000 UTC,125735,1,USDC,13751105452.19638
Circle,2023-10-01 00:00:00.000 UTC,32632,1,USDC,20475646830.82679
Coinbase,2023-10-01 00:00:00.000 UTC,224097,1,USDT,5041605864.580731
Coinbase,2023-11-01 00:00:00.000 UTC,267021,1,USDT,9965063988.830511
Circle,2023-11-01 00:00:00.000 UTC,33169,1,USDC,24982677416.11612
Circle,2023-11-01 00:00:00.000 UTC,51,1,USDT,1828642.784434
Coinbase,2023-11-01 00:00:00.000 UTC,139268,1,USDC,17695858572.636642
Circle,2023-12-01 00:00:00.000 UTC,41,1,USDT,1630715.483016
Coinbase,2023-12-01 00:00:00.000 UTC,149877,1,USDC,16970238080.166248
Circle,2023-12-01 00:00:00.000 UTC,29526,1,USDC,25958326567.765705
Coinbase,2023-12-01 00:00:00.000 UTC,297087,1,USDT,9565454017.896269
Circle,2024-01-01 00:00:00.000 UTC,45,1,USDT,503393.695201
Coinbase,2024-01-01 00:00:00.000 UTC,295600,1,USDT,11748097637.507404
Coinbase,2024-01-01 00:00:00.000 UTC,140502,1,USDC,23304094437.9274
Circle,2024-01-01 00:00:00.000 UTC,30130,1,USDC,34391473224.19478
Circle,2024-02-01 00:00:00.000 UTC,26336,1,USDC,24035150201.79008
Coinbase,2024-02-01 00:00:00.000 UTC,137117,1,USDC,24808355339.337383
Circle,2024-02-01 00:00:00.000 UTC,49,1,USDT,1112202.214325
Coinbase,2024-02-01 00:00:00.000 UTC,264127,1,USDT,11031383802.49792
Coinbase,2024-03-01 00:00:00.000 UTC,178358,1,USDC,46343794041.620094
Coinbase,2024-03-01 00:00:00.000 UTC,314610,1,USDT,16984000100.34278
Circle,2024-03-01 00:00:00.000 UTC,79,1,USDT,3907209.913653
Circle,2024-03-01 00:00:00.000 UTC,39365,1,USDC,43595654414.9057
Coinbase,2024-04-01 00:00:00.000 UTC,287606,1,USDT,12931506744.995687
Coinbase,2024-04-01 00:00:00.000 UTC,162387,1,USDC,48158898850.10655
Circle,2024-04-01 00:00:00.000 UTC,45,1,USDT,2722364.863373
Circle,2024-04-01 00:00:00.000 UTC,33786,1,USDC,48542619303.06074
Circle,2024-05-01 00:00:00.000 UTC,60,1,USDT,442569.693568
Circle,2024-05-01 00:00:00.000 UTC,31942,1,USDC,33280770545.71091
Gemini,2024-05-01 00:00:00.000 UTC,1,1,USDC,21.337626
Coinbase,2024-05-01 00:00:00.000 UTC,299003,1,USDT,7937491575.827888
Coinbase,2024-05-01 00:00:00.000 UTC,166234,1,USDC,27870138963.345425
Circle,2024-06-01 00:00:00.000 UTC,26601,1,USDC,30739167351.9956
Coinbase,2024-06-01 00:00:00.000 UTC,163380,1,USDC,28209481188.46145
Coinbase,2024-06-01 00:00:00.000 UTC,295282,1,USDT,5718298651.534214
Circle,2024-06-01 00:00:00.000 UTC,36,1,USDT,317455.003655
Circle,2024-07-01 00:00:00.000 UTC,30918,1,USDC,36566657917.84529
Coinbase,2024-07-01 00:00:00.000 UTC,269162,1,USDT,8333011683.556617
Circle,2024-07-01 00:00:00.000 UTC,47,1,USDT,327420.347086
Coinbase,2024-07-01 00:00:00.000 UTC,166302,1,USDC,31031524084.060905
Coinbase,2024-08-01 00:00:00.000 UTC,190354,1,USDC,30749847806.88566
Circle,2024-08-01 00:00:00.000 UTC,38,1,USDT,152956.937188
Circle,2024-08-01 00:00:00.000 UTC,31780,1,USDC,34649747053.7976
Coinbase,2024-08-01 00:00:00.000 UTC,291911,1,USDT,13024973918.738115
Coinbase,2024-09-01 00:00:00.000 UTC,298071,1,USDT,7916767632.098247
Coinbase,2024-09-01 00:00:00.000 UTC,195835,1,USDC,28095704534.193504
Circle,2024-09-01 00:00:00.000 UTC,28,1,USDT,80999.588604
Circle,2024-09-01 00:00:00.000 UTC,22885,1,USDC,28223315305.416134
Coinbase,2024-10-01 00:00:00.000 UTC,188434,1,USDC,37260248774.93623
