address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0x9db9e0e53058c89e5b94e29621a205198648425b,0.9988136877444111,1361,4551475695.578519,47345,928,4546076224.179839,9097551919.758358
0xe401a6a38024d8f5ab88f1b08cad476ccaca45e8,1.0,20,4509815145.707029,7431,1,4509815145.707029,9019630291.414059
0x47c12590ec00c99aac2f1a502123a851fe88fb38,0.9999999999999998,5,4438690214.650309,3458,2,4438690214.650308,8877380429.300617
0xcde5d48fca07f9c52300d2e65632dd71ed169b90,1.0,4,4425050498.982817,517,1,4425050498.982817,8850100997.965633
0x5c2ab5dc71ced4d3a07f048dc9c068dfd4fc4d53,1.0,27,4411100691.125886,25166,1,4411100691.125886,8822201382.251772
0x483a910a7479af5bd1333014af97ee5c733a7052,0.9999999999999996,6,4406586363.576874,5022,1,4406586363.576876,8813172727.15375
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0.9756442972309212,30,4361449593.773362,19229,19,4255223423.8250985,8616673017.598461
0x15abb66ba754f05cbc0165a64a11cded1543de48,0.9816502928478598,52,4336060337.942208,839,52,4256494900.5469584,8592555238.489166
0x32d4703e5834f1b474b17dfdb0ac32cc22575145,0.9999992560754032,22,4133483438.840325,5915,2,4133480363.8403244,8266963802.680649
0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,0.9999999999999994,10,4047307157.844781,10839,1,4047307157.8447833,8094614315.689564
0xd8d6ffe342210057bf4dcc31da28d006f253cef0,0.998481383022033,157,3939536233.861237,31530,966,3933553587.251179,7873089821.112416
0xb99a2c4c1c4f1fc27150681b740396f6ce1cbcf5,0.9999999999999457,38,3935701942.7716446,877,35,3935701942.771858,7871403885.543503
0xfd9238dcd679316c6a95c08490e049fcaa9c979e,0.9999999999999996,6,3828877570.341362,2372,1,3828877570.341364,7657755140.682726
0x112c5698e6ce9ab30ad4654de9005c2481f3e333,0.9999999803173272,20,3810458021.074188,2185,1,3810458096.074188,7620916117.148376
0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,0.9999999999999998,4827,3696448124.297446,234688,5946,3696448124.2974467,7392896248.5948925
0x8ce3c66b4663090980f6ca05ae3bc390d74731e9,0.9999999999999701,28,3620253801.290762,4437,33,3620253801.2906537,7240507602.581415
0xd59d7a9698eff3e68e0af7e803d4ed35e7ed12d2,1.0,18,3513611174.749884,4672,2,3513611174.749884,7027222349.499768
0xa188eec8f81263234da3622a406892f3d630f98c,0.9999999999999996,186,3512258473.075025,3016,1,3512258473.0750237,7024516946.150049
0xe67821b76985007b4cf744b0f045c8933b3e91d9,1.0,8,3461683650.200545,3977,1,3461683650.200545,6923367300.40109
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,0.9987495335875748,4704,3455074554.472422,45730,6101,3459400418.5028896,6914474972.975311
0x835678a611b28684005a5e2233695fb6cbbb0007,0.3596718888850103,5,5062623703.07775,52,2,1820883430.0,6883507133.07775
0xd63070114470f685b75b74d60eec7c1113d33a3d,0.9999999999999986,46,3374024407.5708423,16673,1523,3374024407.5708375,6748048815.14168
0x83c41363cbee0081dab75cb841fa24f3db46627e,0.9992261000438919,85510,3364477506.5604205,220106,14176,3361873737.565767,6726351244.126187
0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,1.0,5067,3353892514.800859,25766,1260,3353892514.800859,6707785029.601718
0x3284ac109eb04f070b40ea2bdc644d3a00de7bdb,0.9999999999999999,11,3317901181.2951345,755,1,3317901181.295134,6635802362.590269
0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,0.9999999999999994,33190,3314502003.227259,534203,42171,3314502003.2272573,6629004006.454516
0x00669bf9ba4eaab1bbd301c1ccdf69932f521049,0.9999999999999999,32,3290717124.3161993,352,2,3290717124.316199,6581434248.632399
0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,0.9999999999999999,3120,3202697109.3730516,34516,3902,3202697109.373051,6405394218.746103
0x52aa899454998be5b000ad077a46bbe360f4e497,0.9927349906539391,5344,3110892297.041616,40753,3269,3088291635.42902,6199183932.470636
